hold_days,rise_thresh,dist_thresh,min_freq,precision_bull,precision_bear,avg_precision,bull_samples,bear_samples
10,5.0,3.0,5,0.38535808023997,0.28255832925436447,0.3339582047471672,14354,189
10,3.0,2.5,5,0.3298671675835234,0.33492373310200246,0.33239545034276297,15174,383
5,3.0,3.0,3,0.327028622012393,0.3292660717537789,0.328147346883086,4494,320
10,2.0,2.0,5,0.3402459143166469,0.3137417776081539,0.32699384596240044,14807,833
10,2.0,3.0,3,0.3304504710902374,0.3106589016049299,0.32055468634758366,15744,216
10,2.0,2.5,5,0.371172934433105,0.26779497564974203,0.3194839550414235,15550,458
10,5.0,2.5,3,0.3297875401659393,0.2895983640788583,0.3096929521223988,14364,368
10,2.0,2.5,3,0.3393391925093816,0.2701081446434606,0.3047236685764211,15564,466
10,3.0,2.0,5,0.3380683572760848,0.2692723429085239,0.30367035009230436,14168,826
10,5.0,2.0,5,0.33818134788129617,0.2680951364773896,0.3031382421793429,13337,696
10,2.0,2.0,3,0.3285726768740837,0.2750624687656172,0.30181757281985044,14871,863
10,3.0,3.0,5,0.3307770862637045,0.2712876046520944,0.3010323454578995,15034,199
10,5.0,2.5,5,0.33037246006633375,0.2703470178880015,0.3003597389771676,14346,364
10,2.0,3.0,5,0.3303091013165426,0.2701703369185291,0.3002397191175359,15744,199
10,3.0,2.5,3,0.3303363908523113,0.2696387249114522,0.29998755788188175,15188,387
10,5.0,3.0,3,0.3312541335442792,0.2685546501396381,0.2999043918419586,14354,200
10,5.0,2.0,3,0.32930696494464945,0.2703097768032833,0.2998083708739664,13402,719
3,5.0,3.0,3,0.34097682119205297,0.2579463076555405,0.29946156442379673,1857,281
10,3.0,2.0,3,0.32882882882882886,0.26977220373688254,0.2993005162828557,14236,856
5,2.0,3.0,3,0.3381789949937087,0.25737309960953725,0.297776047301623,4665,392
10,3.0,3.0,3,0.3286737363999449,0.2608263704911351,0.29475005344554,15034,215
5,5.0,2.5,3,0.31326096356478006,0.26345644774990545,0.2883587056573428,4252,477
5,5.0,2.0,3,0.35829694323144107,0.2178432176225158,0.28807008042697846,4437,807
5,2.0,2.0,3,0.2797723982743547,0.29144671725503135,0.285609557764693,5528,998
3,2.0,3.0,5,0.33303982660525605,0.22209382308433073,0.2775668248447934,2267,348
5,5.0,3.0,5,0.2850873595275203,0.26632527825976554,0.27570631889364294,4077,301
5,2.0,2.0,5,0.33024656922905277,0.2150359314538419,0.2726412503414473,5447,956
5,2.0,2.5,3,0.2899941161087866,0.2481488078577063,0.26907146198324644,5011,668
5,2.0,3.0,5,0.2670828681446376,0.25969759061683034,0.263390229380734,4664,387
3,3.0,3.0,3,0.26281109267598957,0.2546990093980188,0.2587550510370042,2100,334
3,3.0,3.0,5,0.3421250312995576,0.17470349050136633,0.258414260900462,2099,326
5,3.0,3.0,5,0.2576964800059851,0.25691853486033156,0.25730750743315833,4493,315
3,2.0,2.5,5,0.3241288212353755,0.17117289664932273,0.24765085894234912,2594,529
5,3.0,2.0,3,0.25647387934585797,0.22710632680556878,0.24179010307571336,5261,980
5,2.0,2.5,5,0.2656273687402092,0.21657784545108488,0.24110260709564704,4991,658
5,3.0,2.5,5,0.2660530648600502,0.21351758942564536,0.23978532714284778,4808,627
5,5.0,2.0,5,0.25637882373064974,0.22208013640238705,0.2392294800665184,4367,776
5,5.0,2.5,5,0.2588348450217704,0.21691627442590217,0.23787555972383628,4226,465
5,3.0,2.0,5,0.25617033330186006,0.21812108715326697,0.23714571022756353,5184,942
3,3.0,2.5,5,0.30285772399064376,0.17102460408112863,0.2369411640358862,2367,476
3,2.0,3.0,3,0.29994139623470806,0.17114585163065754,0.2355436239326828,2268,356
3,5.0,2.5,5,0.2966387156883824,0.17296867820493184,0.23480369694665712,1812,451
5,3.0,2.5,3,0.25874961417064113,0.2070528907618732,0.23290125246625715,4830,637
5,5.0,3.0,3,0.2573554309793446,0.2028685715709853,0.23011200127516496,4081,306
3,5.0,2.0,3,0.2016852988932644,0.2559864475069823,0.22883587320012333,1657,627
3,3.0,2.0,5,0.20161849277859992,0.23204969796814937,0.21683409537337464,2100,739
3,2.0,2.5,3,0.2484734349141129,0.17858631758869387,0.21352987625140338,2618,540
3,2.0,2.0,5,0.20929138556152188,0.17509716641100687,0.19219427598626437,2439,792
3,5.0,2.0,5,0.20162544571732038,0.1774821622929012,0.1895538040051108,1597,586
3,3.0,2.5,3,0.2015927253715737,0.17579738732368155,0.18869505634762762,2394,488
3,2.0,2.0,3,0.20014659928243508,0.17516451217343282,0.18765555572793396,2517,837
3,5.0,2.5,3,0.20197968075082331,0.17239686131035478,0.18718827103058905,1841,460
3,3.0,2.0,3,0.20115260272688937,0.1731329915963184,0.18714279716160387,2164,782
3,5.0,3.0,5,0.19730041389535244,0.17108614086587998,0.1841932773806162,1856,273
