型態,評分,交易數,勝率,盈虧比,平均損益,夏普比,最大回撤
hammer,62.68,21,47.8%,1.78,$0.52,1.21,0.1%
hanging_man,65.97,64,45.5%,1.55,$6.68,2.22,0.2%
inverted_hammer,60.78,58,56.4%,1.15,$-0.06,1.53,0.1%
bullish_harami,82.01,27,64.0%,9.25,$15.37,8.41,0.0%
bearish_harami,73.25,24,46.5%,2.36,$4.47,2.04,0.1%
bullish_engulfing,46.45,55,42.2%,1.12,$1.88,0.86,0.1%
bearish_engulfing,79.52,72,59.0%,2.09,$7.10,3.37,0.1%
morning_star,52.95,125,47.6%,1.27,$3.96,1.00,0.2%
evening_star,46.5,138,46.8%,1.03,$1.18,0.77,0.2%
piercing_line,74.13,80,50.2%,1.93,$7.56,4.07,0.1%
dark_cloud_cover,80.36,66,60.7%,2.59,$8.11,4.43,0.1%
doji,32.16,213,39.9%,0.81,$0.25,-1.33,0.3%
three_black_crows,65.98,143,49.5%,2.23,$3.08,1.13,0.5%
three_white_soldiers,32.0,126,44.9%,0.64,$-3.12,-0.73,0.3%
triple_top,36.24,421,44.6%,0.93,$0.91,-0.38,0.4%
triple_bottom,55.58,331,48.7%,1.27,$3.24,1.21,0.3%
bullish_flag,67.78,43,43.0%,1.75,$1.57,2.58,0.1%
bearish_flag,79.08,36,58.2%,3.52,$5.04,5.58,0.1%
bullish_wedge,32.76,78,45.5%,0.67,$-3.55,-1.42,0.2%
bearish_wedge,69.0,87,53.8%,1.47,$4.06,3.41,0.2%
