股票代號,股票名稱,產業分類,市場別
1101,台泥,01,上市
1102,亞泥,01,上市
1103,嘉泥,01,上市
1104,環泥,01,上市
1108,幸福,01,上市
1109,信大,01,上市
1110,東泥,01,上市
1201,味全,02,上市
1203,味王,02,上市
1210,大成,02,上市
1213,大飲,02,上市
1215,卜蜂,02,上市
1216,統一,02,上市
1217,愛之味,02,上市
1218,泰山,02,上市
1219,福壽,02,上市
1220,台榮,02,上市
1225,福懋油,02,上市
1227,佳格,02,上市
1229,聯華,02,上市
1231,聯華食,02,上市
1232,大統益,02,上市
1233,天仁,02,上市
1234,黑松,02,上市
1235,興泰,02,上市
1236,宏亞,02,上市
1240,茂生農經,33,上櫃
1256,鮮活果汁-KY,02,上市
1259,安心,16,上櫃
1264,德麥,02,上櫃
1268,漢來美食,16,上櫃
1294,漢田生技,02,上櫃
1295,生合,02,上櫃
1301,台塑,03,上市
1303,南亞,03,上市
1304,台聚,03,上市
1305,華夏,03,上市
1307,三芳,03,上市
1308,亞聚,03,上市
1309,台達化,03,上市
1310,台苯,03,上市
1312,國喬,03,上市
1313,聯成,03,上市
1314,中石化,03,上市
1315,達新,03,上市
1316,上曜,14,上市
1319,東陽,12,上市
1321,大洋,03,上市
1323,永裕,03,上市
1324,地球,03,上市
1325,恆大,03,上市
1326,台化,03,上市
1336,台翰,28,上櫃
1337,再生-KY,03,上市
1338,廣華-KY,12,上市
1339,昭輝,12,上市
1340,勝悅-KY,03,上市
1341,富林-KY,03,上市
1342,八貫,20,上市
1402,遠東新,04,上市
1409,新纖,04,上市
1410,南染,04,上市
1413,宏洲,04,上市
1414,東和,04,上市
1416,廣豐,20,上市
1417,嘉裕,04,上市
1418,東華,04,上市
1419,新紡,04,上市
1423,利華,04,上市
1432,大魯閣,37,上市
1434,福懋,04,上市
1435,中福,20,上市
1436,華友聯,14,上市
1437,勤益控,20,上市
1438,三地開發,14,上市
1439,雋揚,14,上市
1440,南紡,04,上市
1441,大東,04,上市
1442,名軒,14,上市
1443,立益物流,20,上市
1444,力麗,04,上市
1445,大宇,04,上市
1446,宏和,04,上市
1447,力鵬,04,上市
1449,佳和,04,上市
1451,年興,04,上市
1452,宏益,04,上市
1453,大將,14,上市
1454,台富,04,上市
1455,集盛,04,上市
1456,怡華,14,上市
1457,宜進,04,上市
1459,聯發,04,上市
1460,宏遠,04,上市
1463,強盛新,04,上市
1464,得力,04,上市
1465,偉全,04,上市
1466,聚隆,04,上市
1467,南緯,04,上市
1468,昶和,04,上市
1470,大統新創,04,上市
1471,首利,28,上市
1472,三洋實業,14,上市
1473,台南,04,上市
1474,弘裕,04,上市
1475,業旺,04,上市
1476,儒鴻,04,上市
1477,聚陽,04,上市
1503,士電,05,上市
1504,東元,05,上市
1506,正道,05,上市
1512,瑞利,12,上市
1513,中興電,05,上市
1514,亞力,05,上市
1515,力山,05,上市
1516,川飛,20,上市
1517,利奇,05,上市
1519,華城,05,上市
1521,大億,12,上市
1522,堤維西,12,上市
1524,耿鼎,12,上市
1525,江申,12,上市
1526,日馳,05,上市
1527,鑽全,05,上市
1528,恩德,05,上市
1529,樂事綠能,05,上市
1530,亞崴,05,上市
1531,高林股,05,上市
1532,勤美,05,上市
1533,車王電,12,上市
1535,中宇,05,上市
1536,和大,12,上市
1537,廣隆,05,上市
1538,正峰,05,上市
1539,巨庭,05,上市
1540,喬福,05,上市
1541,錩泰,05,上市
1558,伸興,05,上市
1560,中砂,05,上市
1563,巧新,12,上市
1565,精華,22,上櫃
1568,倉佑,12,上市
1569,濱川,25,上櫃
1570,力肯,05,上櫃
1580,新麥,05,上櫃
1582,信錦,28,上市
1583,程泰,05,上市
1584,精剛,20,上櫃
1586,和勤,05,上櫃
1587,吉茂,12,上市
1589,永冠-KY,05,上市
1590,亞德客-KY,05,上市
1591,駿吉-KY,05,上櫃
1593,祺驊,37,上櫃
1595,川寶,28,上櫃
1597,直得,05,上市
1598,岱宇,37,上市
1599,宏佳騰,05,上櫃
1603,華電,06,上市
1604,聲寶,06,上市
1605,華新,06,上市
1608,華榮,06,上市
1609,大亞,06,上市
1611,中電,06,上市
1612,宏泰,06,上市
1614,三洋電,06,上市
1615,大山,06,上市
1616,億泰,06,上市
1617,榮星,06,上市
1618,合機,06,上市
1623,大東電,06,上市
1626,艾美特-KY,06,上市
1702,南僑,02,上市
1707,葡萄王,22,上市
1708,東鹼,21,上市
1709,和益,21,上市
1710,東聯,21,上市
1711,永光,21,上市
1712,興農,21,上市
1713,國化,21,上市
1714,和桐,21,上市
1717,長興,21,上市
1718,中纖,21,上市
1720,生達,22,上市
1721,三晃,21,上市
1722,台肥,21,上市
1723,中碳,21,上市
1725,元禎,21,上市
1726,永記,21,上市
1727,中華化,21,上市
1730,花仙子,21,上市
1731,美吾華,22,上市
1732,毛寶,21,上市
1733,五鼎,22,上市
1734,杏輝,22,上市
1735,日勝化,21,上市
1736,喬山,37,上市
1737,臺鹽,02,上市
1742,台蠟,21,上櫃
1752,南光,22,上市
1760,寶齡富錦,22,上市
1762,中化生,22,上市
1773,勝一,21,上市
1776,展宇,21,上市
1777,生泰,22,上櫃
1781,合世,22,上櫃
1783,和康生,22,上市
1784,訊聯,22,上櫃
1785,光洋科,31,上櫃
1786,科妍,22,上市
1788,杏昌,22,上櫃
1789,神隆,22,上市
1795,美時,22,上市
1796,金穎生技,02,上櫃
1799,易威,22,上櫃
1802,台玻,08,上市
1805,寶徠,14,上市
1806,冠軍,08,上市
1808,潤隆,14,上市
1809,中釉,08,上市
1810,和成,08,上市
1813,寶利徠,22,上櫃
1815,富喬,28,上櫃
1817,凱撒衛,08,上市
1903,士紙,09,上市
1904,正隆,09,上市
1905,華紙,09,上市
1906,寶隆,09,上市
1907,永豐餘,09,上市
1909,榮成,09,上市
2002,中鋼,10,上市
2006,東和鋼鐵,10,上市
2007,燁興,10,上市
2008,高興昌,10,上市
2009,第一銅,10,上市
2010,春源,10,上市
2012,春雨,10,上市
2013,中鋼構,10,上市
2014,中鴻,10,上市
2015,豐興,10,上市
2017,官田鋼,10,上市
2020,美亞,10,上市
2022,聚亨,10,上市
2023,燁輝,10,上市
2024,志聯,10,上市
2025,千興,10,上市
2027,大成鋼,10,上市
2028,威致,10,上市
2029,盛餘,10,上市
2030,彰源,10,上市
2031,新光鋼,10,上市
2032,新鋼,10,上市
2033,佳大,10,上市
2034,允強,10,上市
2035,唐榮公司,10,上櫃
2038,海光,10,上市
2049,上銀,05,上市
2059,川湖,28,上市
2061,風青,06,上櫃
2062,橋椿,38,上市
2063,世鎧精密,10,上櫃
2064,晉椿,10,上櫃
2065,世豐,10,上櫃
2066,世德,05,上櫃
2067,嘉鋼,05,上櫃
2069,運錩,10,上市
2070,精湛,05,上櫃
2073,雄順,10,上櫃
2101,南港,11,上市
2102,泰豐,11,上市
2103,台橡,11,上市
2104,國際中橡,11,上市
2105,正新,11,上市
2106,建大,11,上市
2107,厚生,11,上市
2108,南帝,11,上市
2109,華豐,11,上市
2114,鑫永銓,11,上市
2115,六暉-KY,12,上市
2201,裕隆,12,上市
2204,中華,12,上市
2206,三陽工業,12,上市
2207,和泰車,12,上市
2208,台船,15,上市
2211,長榮鋼,10,上市
2221,大甲,20,上櫃
2227,裕日車,12,上市
2228,劍麟,12,上市
2230,泰茂,05,上櫃
2231,為升,12,上市
2233,宇隆,12,上市
2235,謚源,05,上櫃
2236,百達-KY,12,上市
2239,英利-KY,12,上市
2241,艾姆勒,12,上市
2243,宏旭-KY,12,上市
2247,汎德永業,12,上市
2248,華勝-KY,12,上市
2250,IKKA-KY,12,上市
2254,巨鎧精密-創,12,上市
2258,鴻華先進-創,12,上市
2301,光寶科,25,上市
2302,麗正,24,上市
2303,聯電,24,上市
2305,全友,25,上市
2308,台達電,28,上市
2312,金寶,31,上市
2313,華通,28,上市
2314,台揚,27,上市
2316,楠梓電,28,上市
2317,鴻海,31,上市
2321,東訊,27,上市
2323,中環,26,上市
2324,仁寶,25,上市
2327,國巨*,28,上市
2328,廣宇,28,上市
2329,華泰,24,上市
2330,台積電,24,上市
2331,精英,25,上市
2332,友訊,27,上市
2337,旺宏,24,上市
2338,光罩,24,上市
2340,台亞,24,上市
2342,茂矽,24,上市
2344,華邦電,24,上市
2345,智邦,27,上市
2347,聯強,29,上市
2348,海悅,20,上市
2349,錸德,26,上市
2351,順德,24,上市
2352,佳世達,25,上市
2353,宏碁,25,上市
2354,鴻準,31,上市
2355,敬鵬,28,上市
2356,英業達,25,上市
2357,華碩,25,上市
2359,所羅門,31,上市
2360,致茂,31,上市
2362,藍天,25,上市
2363,矽統,24,上市
2364,倫飛,25,上市
2365,昆盈,25,上市
2367,燿華,28,上市
2368,金像電,28,上市
2369,菱生,24,上市
2371,大同,05,上市
2373,震旦行,31,上市
2374,佳能,26,上市
2375,凱美,28,上市
2376,技嘉,25,上市
2377,微星,25,上市
2379,瑞昱,24,上市
2380,虹光,25,上市
2382,廣達,25,上市
2383,台光電,28,上市
2385,群光,28,上市
2387,精元,25,上市
2388,威盛,24,上市
2390,云辰,31,上市
2392,正崴,28,上市
2393,億光,26,上市
2395,研華,25,上市
2397,友通,25,上市
2399,映泰,25,上市
2401,凌陽,24,上市
2402,毅嘉,28,上市
2404,漢唐,31,上市
2405,輔信,25,上市
2406,國碩,26,上市
2408,南亞科,24,上市
2409,友達,26,上市
2412,中華電,27,上市
2413,環科,28,上市
2414,精技,29,上市
2415,錩新,28,上市
2417,圓剛,25,上市
2419,仲琦,27,上市
2420,新巨,28,上市
2421,建準,28,上市
2423,固緯,31,上市
2424,隴華,27,上市
2425,承啟,25,上市
2426,鼎元,26,上市
2427,三商電,30,上市
2428,興勤,28,上市
2429,銘旺科,26,上市
2430,燦坤,29,上市
2431,聯昌,28,上市
2432,倚天酷碁-創,25,上市
2433,互盛電,31,上市
2434,統懋,24,上市
2436,偉詮電,24,上市
2438,翔耀,26,上市
2439,美律,27,上市
2440,太空梭,28,上市
2441,超豐,24,上市
2442,新美齊,14,上市
2444,兆勁,27,上市
2449,京元電子,24,上市
2450,神腦,27,上市
2451,創見,24,上市
2453,凌群,30,上市
2454,聯發科,24,上市
2455,全新,27,上市
2457,飛宏,28,上市
2458,義隆,24,上市
2459,敦吉,31,上市
2460,建通,28,上市
2461,光群雷,31,上市
2462,良得電,28,上市
2464,盟立,31,上市
2465,麗臺,25,上市
2466,冠西電,26,上市
2467,志聖,28,上市
2468,華經,30,上市
2471,資通,30,上市
2472,立隆電,28,上市
2474,可成,31,上市
2476,鉅祥,28,上市
2477,美隆電,31,上市
2478,大毅,28,上市
2480,敦陽科,30,上市
2481,強茂,24,上市
2482,連宇,31,上市
2483,百容,28,上市
2484,希華,28,上市
2485,兆赫,27,上市
2486,一詮,26,上市
2488,漢平,31,上市
2489,瑞軒,26,上市
2491,吉祥全,26,上市
2492,華新科,28,上市
2493,揚博,28,上市
2495,普安,25,上市
2496,卓越,20,上市
2497,怡利電,12,上市
2498,宏達電,27,上市
2501,國建,14,上市
2504,國產,14,上市
2505,國揚,14,上市
2506,太設,14,上市
2509,全坤建,14,上市
2511,太子,14,上市
2514,龍邦,20,上市
2515,中工,14,上市
2516,新建,14,上市
2520,冠德,14,上市
2524,京城,14,上市
2527,宏璟,14,上市
2528,皇普,14,上市
2530,華建,14,上市
2534,宏盛,14,上市
2535,達欣工,14,上市
2536,宏普,14,上市
2537,聯上發,14,上市
2538,基泰,14,上市
2539,櫻花建,14,上市
2540,愛山林,14,上市
2542,興富發,14,上市
2543,皇昌,14,上市
2545,皇翔,14,上市
2546,根基,14,上市
2547,日勝生,14,上市
2548,華固,14,上市
2596,綠意,14,上櫃
2597,潤弘,14,上市
2601,益航,18,上市
2603,長榮,15,上市
2605,新興,15,上市
2606,裕民,15,上市
2607,榮運,15,上市
2608,嘉里大榮,15,上市
2609,陽明,15,上市
2610,華航,15,上市
2611,志信,15,上市
2612,中航,15,上市
2613,中櫃,15,上市
2614,東森,20,上市
2615,萬海,15,上市
2616,山隆,23,上市
2617,台航,15,上市
2618,長榮航,15,上市
2630,亞航,15,上市
2633,台灣高鐵,15,上市
2634,漢翔,15,上市
2636,台驊控股,15,上市
2637,慧洋-KY,15,上市
2640,大車隊,36,上櫃
2641,正德,15,上櫃
2642,宅配通,15,上市
2643,捷迅,15,上櫃
2645,長榮航太,15,上市
2646,星宇航空,15,上市
2701,萬企,16,上市
2702,華園,16,上市
2704,國賓,16,上市
2705,六福,16,上市
2706,第一店,16,上市
2707,晶華,16,上市
2712,遠雄來,16,上市
2718,全心投控,14,上櫃
2719,燦星旅,16,上櫃
2722,夏都,16,上市
2723,美食-KY,16,上市
2724,藝舍-KY,20,上櫃
2726,雅茗-KY,16,上櫃
2727,王品,16,上市
2729,瓦城,16,上櫃
2731,雄獅,16,上市
2732,六角,16,上櫃
2734,易飛網,16,上櫃
2736,富野,16,上櫃
2739,寒舍,16,上市
2740,華軒,16,上櫃
2743,山富,16,上櫃
2745,五福,16,上櫃
2748,雲品,16,上市
2751,王座,16,上櫃
2752,豆府,16,上櫃
2753,八方雲集,16,上市
2754,亞洲藏壽司,16,上櫃
2755,揚秦,16,上櫃
2756,聯發國際,16,上櫃
2762,世界健身-KY,37,上市
2801,彰銀,17,上市
2812,台中銀,17,上市
2816,旺旺保,17,上市
2820,華票,17,上市
2832,台產,17,上市
2834,臺企銀,17,上市
2836,高雄銀,17,上市
2838,聯邦銀,17,上市
2845,遠東銀,17,上市
2849,安泰銀,17,上市
2850,新產,17,上市
2851,中再保,17,上市
2852,第一保,17,上市
2855,統一證,17,上市
2867,三商壽,17,上市
2880,華南金,17,上市
2881,富邦金,17,上市
2882,國泰金,17,上市
2883,凱基金,17,上市
2884,玉山金,17,上市
2885,元大金,17,上市
2886,兆豐金,17,上市
2887,台新新光金,17,上市
2889,國票金,17,上市
2890,永豐金,17,上市
2891,中信金,17,上市
2892,第一金,17,上市
2897,王道銀行,17,上市
2901,欣欣,18,上市
2903,遠百,18,上市
2904,匯僑,20,上市
2905,三商,18,上市
2906,高林,18,上市
2908,特力,18,上市
2910,統領,18,上市
2911,麗嬰房,18,上市
2912,統一超,18,上市
2913,農林,18,上市
2915,潤泰全,18,上市
2916,滿心,38,上櫃
2923,鼎固-KY,14,上市
2924,宏太-KY,38,上櫃
2926,誠品生活,32,上櫃
2929,淘帝-KY,18,上市
2937,集雅社,38,上櫃
2939,永邑-KY,18,上市
2941,米斯特,38,上櫃
2945,三商家購,18,上市
2947,振宇五金,38,上櫃
2948,寶陞,38,上櫃
2949,欣新網,36,上櫃
3002,歐格,25,上市
3003,健和興,28,上市
3004,豐達科,10,上市
3005,神基,25,上市
3006,晶豪科,24,上市
3008,大立光,26,上市
3010,華立,29,上市
3011,今皓,28,上市
3013,晟銘電,25,上市
3014,聯陽,24,上市
3015,全漢,28,上市
3016,嘉晶,24,上市
3017,奇鋐,25,上市
3018,隆銘綠能,31,上市
3019,亞光,26,上市
3021,鴻名,28,上市
3022,威強電,25,上市
3023,信邦,28,上市
3024,憶聲,26,上市
3025,星通,27,上市
3026,禾伸堂,28,上市
3027,盛達,27,上市
3028,增你強,29,上市
3029,零壹,30,上市
3030,德律,31,上市
3031,佰鴻,26,上市
3032,偉訓,28,上市
3033,威健,29,上市
3034,聯詠,24,上市
3035,智原,24,上市
3036,文曄,29,上市
3037,欣興,28,上市
3038,全台,26,上市
3040,遠見,20,上市
3041,揚智,24,上市
3042,晶技,28,上市
3043,科風,31,上市
3044,健鼎,28,上市
3045,台灣大,27,上市
3046,建碁,25,上市
3047,訊舟,27,上市
3048,益登,29,上市
3049,精金,26,上市
3050,鈺德,26,上市
3051,力特,26,上市
3052,夆典,14,上市
3054,立萬利,02,上市
3055,蔚華科,29,上市
3056,富華新,14,上市
3057,喬鼎,25,上市
3058,立德,28,上市
3059,華晶科,26,上市
3060,銘異,25,上市
3062,建漢,27,上市
3064,泰偉,32,上櫃
3066,李洲,26,上櫃
3067,全域,31,上櫃
3071,協禧,25,上櫃
3073,天方能源,35,上櫃
3078,僑威,28,上櫃
3081,聯亞,27,上櫃
3083,網龍,32,上櫃
3085,新零售,36,上櫃
3086,華義,32,上櫃
3088,艾訊,25,上櫃
3090,日電貿,28,上市
3092,鴻碩,28,上市
3093,港建*,31,上櫃
3094,聯傑,24,上市
3095,及成,27,上櫃
3105,穩懋,24,上櫃
3114,好德,28,上櫃
3115,富榮綱,28,上櫃
3118,進階,22,上櫃
3122,笙泉,24,上櫃
3128,昇銳,26,上櫃
3130,一零四,36,上市
3131,弘塑,31,上櫃
3135,凌航,24,上市
3138,耀登,27,上市
3141,晶宏,24,上櫃
3147,大綜,30,上櫃
3149,正達,26,上市
3150,鈺寶-創,24,上市
3152,璟德,27,上櫃
3158,嘉實,30,上櫃
3162,精確,05,上櫃
3163,波若威,27,上櫃
3164,景岳,22,上市
3167,大量,05,上市
3168,眾福科,26,上市
3169,亞信,24,上櫃
3171,炎洲流通,38,上櫃
3176,基亞,22,上櫃
3178,公準,24,上櫃
3188,鑫龍騰,14,上櫃
3189,景碩,24,上市
3191,雲嘉南,28,上櫃
3205,佰研,22,上櫃
3206,志豐,28,上櫃
3207,耀勝,28,上櫃
3209,全科,29,上市
3211,順達,25,上櫃
3213,茂訊,25,上櫃
3217,優群,28,上櫃
3218,大學光,22,上櫃
3219,倚強科,31,上櫃
3221,台嘉碩,27,上櫃
3224,三顧,29,上櫃
3226,龍鋒,05,上櫃
3227,原相,24,上櫃
3228,金麗科,24,上櫃
3229,晟鈦,28,上市
3230,錦明,26,上櫃
3231,緯創,25,上市
3232,昱捷,29,上櫃
3234,光環,27,上櫃
3236,千如,28,上櫃
3252,海灣,16,上櫃
3257,虹冠電,24,上市
3259,鑫創,24,上櫃
3260,威剛,24,上櫃
3264,欣銓,24,上櫃
3265,台星科,24,上櫃
3266,昇陽,14,上市
3268,海德威,24,上櫃
3272,東碩,25,上櫃
3276,宇環,28,上櫃
3284,太普高,20,上櫃
3285,微端,31,上櫃
3287,廣寰科,25,上櫃
3288,點晶,28,上櫃
3289,宜特,31,上櫃
3290,東浦,28,上櫃
3293,鈊象,32,上櫃
3294,英濟,28,上櫃
3296,勝德,28,上市
3297,杭特,26,上櫃
3303,岱稜,31,上櫃
3305,昇貿,31,上市
3306,鼎天,27,上櫃
3308,聯德,28,上市
3310,佳穎,28,上櫃
3311,閎暉,27,上市
3312,弘憶股,29,上市
3313,斐成,20,上櫃
3317,尼克森,24,上櫃
3321,同泰,28,上市
3322,建舜電,28,上櫃
3323,加百裕,25,上櫃
3324,雙鴻,31,上櫃
3325,旭品,25,上櫃
3332,幸康,28,上櫃
3338,泰碩,28,上市
3339,泰谷,26,上櫃
3346,麗清,12,上市
3349,寶德,25,上櫃
3354,律勝,28,上櫃
3356,奇偶,26,上市
3357,臺慶科,28,上櫃
3360,尚立,29,上櫃
3362,先進光,26,上櫃
3363,上詮,27,上櫃
3372,典範,24,上櫃
3373,熱映,31,上櫃
3374,精材,24,上櫃
3376,新日興,28,上市
3379,彬台,05,上櫃
3380,明泰,27,上市
3388,崇越電,28,上櫃
3390,旭軟,28,上櫃
3402,漢科,31,上櫃
3406,玉晶光,26,上市
3413,京鼎,24,上市
3416,融程電,25,上市
3419,譁裕,27,上市
3426,台興,05,上櫃
3430,奇鈦科,21,上櫃
3432,台端,28,上市
3434,哲固,26,上櫃
3437,榮創,26,上市
3438,類比科,24,上櫃
3441,聯一光電,26,上櫃
3443,創意,24,上市
3444,利機,29,上櫃
3447,展達,27,上市
3450,聯鈞,24,上市
3454,晶睿,26,上市
3455,由田,26,上櫃
3465,進泰電子,31,上櫃
3466,德晉,27,上櫃
3467,台灣精材,24,上櫃
3479,安勤,25,上櫃
3481,群創,26,上市
3483,力致,25,上櫃
3484,崧騰,28,上櫃
3489,森寶,14,上櫃
3490,單井,26,上櫃
3491,昇達科,27,上櫃
3492,長盛,28,上櫃
3494,誠研,25,上市
3498,陽程,31,上櫃
3499,環天科,27,上櫃
3501,維熹,28,上市
3504,揚明光,26,上市
3508,位速,31,上櫃
3511,矽瑪,28,上櫃
3512,皇龍,14,上櫃
3515,華擎,25,上市
3516,亞帝歐,26,上櫃
3518,柏騰,31,上市
3520,華盈,28,上櫃
